iter	Passed	Remaining
427	1692	2261
428	1693	2254
429	1697	2249
430	1700	2245
431	1702	2238
432	1704	2231
433	1705	2224
434	1707	2218
435	1709	2211
436	1712	2206
437	1720	2207
438	1722	2200
439	1723	2194
440	1730	2193
441	1732	2187
442	1735	2181
443	1737	2175
444	1738	2168
445	1742	2164
446	1750	2165
447	1752	2158
448	1753	2152
449	1759	2150
450	1761	2143
451	1763	2137
452	1765	2131
453	1766	2124
454	1768	2117
455	1770	2111
456	1778	2113
457	1780	2106
458	1781	2100
459	1783	2093
460	1788	2090
461	1789	2084
462	1791	2077
463	1793	2071
464	1794	2064
465	1799	2061
466	1806	2062
467	1808	2056
468	1813	2053
469	1819	2051
470	1820	2045
471	1824	2041
472	1835	2045
473	1839	2040
474	1846	2041
475	1850	2037
476	1852	2031
477	1854	2024
478	1870	2035
479	1879	2036
480	1882	2031
481	1885	2026
482	1893	2027
483	1898	2023
484	1914	2032
485	1934	2045
486	1942	2046
487	1944	2040
488	1947	2034
489	1948	2028
490	1961	2033
491	1963	2027
492	1967	2023
493	1972	2019
494	1976	2016
495	1980	2011
496	1989	2013
497	1993	2009
498	2000	2008
499	2002	2002
500	2008	2000
501	2029	2013
502	2034	2010
503	2036	2004
504	2038	1998
505	2040	1991
506	2049	1993
507	2052	1987
508	2054	1982
509	2061	1980
510	2063	1974
511	2065	1968
512	2066	1961
513	2068	1955
514	2069	1949
515	2073	1945
516	2081	1944
517	2083	1938
518	2085	1932
519	2091	1930
520	2092	1924
521	2094	1917
522	2096	1911
523	2097	1905
524	2098	1899
525	2102	1894
526	2104	1888
527	2109	1885
528	2111	1879
529	2112	1873
530	2114	1867
531	2120	1865
532	2122	1860
533	2124	1854
534	2126	1848
535	2127	1842
536	2129	1836
537	2134	1833
538	2140	1830
539	2141	1824
540	2143	1818
541	2147	1814
542	2150	1809
543	2151	1803
544	2153	1797
545	2154	1791
546	2156	1785
547	2157	1779
548	2159	1773
549	2165	1771
550	2167	1766
551	2174	1764
552	2176	1758
553	2178	1753
554	2180	1748
555	2181	1742
556	2183	1736
557	2199	1741
558	2204	1739
559	2209	1736
560	2211	1730
561	2213	1725
562	2217	1721
563	2226	1720
564	2227	1715
565	2229	1709
566	2236	1708
567	2238	1702
568	2240	1696
569	2241	1691
570	2243	1685
571	2244	1679
572	2250	1676
573	2255	1674
574	2257	1668
575	2258	1662
576	2265	1660
577	2266	1654
578	2268	1649
579	2270	1643
580	2271	1638
581	2273	1632
582	2274	1627
583	2280	1624
584	2284	1620
585	2286	1615
586	2287	1609
587	2291	1605
588	2294	1601
589	2297	1596
590	2298	1590
591	2300	1585
592	2302	1580
593	2305	1575
594	2306	1570
595	2315	1569
596	2318	1565
597	2321	1560
598	2324	1555
599	2327	1551
600	2339	1553
601	2341	1548
602	2349	1546
603	2353	1543
604	2355	1538
605	2362	1535
606	2364	1530
607	2372	1529
608	2374	1524
609	2375	1518
610	2377	1513
611	2378	1508
612	2382	1503
613	2392	1504
614	2395	1499
615	2402	1497
616	2404	1492
617	2406	1487
618	2407	1482
619	2409	1476
620	2411	1471
621	2413	1466
622	2419	1464
623	2421	1459
624	2422	1453
625	2424	1448
626	2431	1446
627	2432	1441
628	2434	1435
629	2435	1430
630	2437	1425
631	2438	1420
632	2440	1414
633	2449	1413
634	2451	1409
635	2453	1404
636	2460	1401
637	2462	1397
638	2464	1392
639	2467	1388
640	2474	1385
641	2478	1382
642	2484	1379
643	2490	1376
644	2492	1371
645	2494	1366
646	2496	1362
647	2507	1361
648	2511	1358
649	2516	1355
650	2518	1350
651	2523	1346
652	2524	1341
653	2536	1342
654	2539	1337
655	2547	1336
656	2549	1330
657	2554	1327
658	2566	1328
659	2570	1324
660	2580	1323
661	2582	1318
662	2583	1313
663	2585	1308
664	2596	1307
665	2598	1303
666	2606	1301
667	2609	1296
668	2610	1291
669	2612	1286
670	2614	1281
671	2627	1282
672	2629	1277
673	2637	1275
674	2640	1271
675	2642	1266
676	2644	1261
677	2648	1257
678	2668	1261
679	2671	1257
680	2675	1253
681	2690	1254
682	2699	1252
683	2701	1248
684	2703	1243
685	2705	1238
686	2708	1233
687	2716	1231
688	2719	1227
689	2721	1222
690	2727	1219
691	2729	1214
692	2731	1210
693	2733	1205
694	2735	1200
695	2743	1198
696	2748	1194
697	2751	1190
698	2757	1187
699	2760	1182
700	2762	1178
701	2764	1173
702	2769	1170
703	2777	1167
704	2779	1163
705	2781	1158
706	2783	1153
707	2795	1152
708	2798	1148
709	2807	1146
710	2809	1141
711	2811	1137
712	2814	1132
713	2821	1130
714	2826	1126
715	2834	1124
716	2840	1120
717	2844	1117
718	2852	1114
719	2856	1110
720	2858	1106
721	2863	1102
722	2867	1098
723	2870	1094
724	2872	1089
725	2874	1084
726	2888	1084
727	2896	1082
728	2898	1077
729	2900	1072
730	2902	1068
731	2917	1068
732	2919	1063
733	2931	1062
734	2934	1057
735	2946	1056
736	2952	1053
737	2961	1051
738	2963	1046
739	2966	1042
740	2977	1040
741	2981	1036
742	2991	1034
743	2993	1029
744	2995	1025
745	2997	1020
746	3007	1018
747	3009	1013
748	3011	1009
749	3022	1007
750	3023	1002
751	3026	997
752	3028	993
753	3040	991
754	3042	987
755	3048	983
756	3052	979
757	3054	975
758	3057	970
759	3059	966
760	3063	962
761	3067	958
762	3077	956
763	3102	958
764	3107	954
765	3109	949
766	3119	947
767	3122	943
768	3125	938
769	3133	935
770	3136	931
771	3140	927
772	3158	927
773	3163	923
774	3165	919
775	3167	914
776	3169	909
777	3177	906
778	3182	902
779	3191	900
780	3192	895
781	3195	890
782	3197	886
783	3210	884
784	3212	879
785	3224	877
786	3227	873
787	3228	868
788	3231	864
789	3233	859
790	3239	855
791	3241	851
792	3245	847
793	3253	844
794	3256	839
795	3265	836
796	3267	832
797	3280	830
798	3282	825
799	3283	820
800	3291	817
801	3293	813
802	3294	808
803	3296	803
804	3298	798
805	3308	796
806	3310	791
807	3321	789
808	3323	784
809	3325	780
810	3339	778
811	3341	773
812	3348	770
813	3350	765
814	3352	760
815	3354	756
816	3356	751
817	3369	749
818	3370	744
819	3378	741
820	3381	737
821	3384	732
822	3385	728
823	3397	725
824	3402	721
825	3411	718
826	3413	714
827	3416	709
828	3422	705
829	3429	702
830	3431	697
831	3434	693
832	3441	689
833	3444	685
834	3445	680
835	3453	677
836	3457	673
837	3459	668
838	3461	664
839	3471	661
840	3472	656
841	3474	651
842	3476	647
843	3509	648
844	3517	645
845	3519	640
846	3521	636
847	3523	631
848	3525	627
849	3538	624
850	3540	619
851	3549	616
852	3552	612
853	3554	607
854	3556	603
855	3562	599
856	3567	595
857	3570	590
858	3578	587
859	3581	583
860	3583	578
861	3585	574
862	3588	569
863	3595	566
864	3597	561
865	3599	556
866	3600	552
867	3607	548
868	3610	544
869	3612	539
870	3613	535
871	3615	530
872	3618	526
873	3622	522
874	3626	518
875	3630	513
876	3636	510
877	3639	505
878	3642	501
879	3644	497
880	3654	493
881	3657	489
882	3659	484
883	3665	481
884	3667	476
885	3669	472
886	3670	467
887	3672	463
888	3673	458
889	3680	454
890	3685	450
891	3687	446
892	3692	442
893	3695	438
894	3696	433
895	3698	429
896	3708	425
897	3710	421
898	3712	417
899	3718	413
900	3720	408
901	3721	404
902	3723	399
903	3724	395
904	3726	391
905	3728	386
906	3737	383
907	3739	378
908	3741	374
909	3742	370
910	3748	366
911	3750	361
912	3752	357
913	3754	353
914	3755	348
915	3757	344
916	3764	340
917	3766	336
918	3767	332
919	3769	327
920	3772	323
921	3774	319
922	3775	314
923	3777	310
924	3779	306
925	3780	302
926	3786	298
927	3790	294
928	3792	289
929	3802	286
930	3804	281
931	3806	277
932	3808	273
933	3822	270
934	3823	265
935	3833	262
936	3835	257
937	3838	253
938	3840	249
939	3846	245
940	3849	241
941	3856	237
942	3858	233
943	3860	229
944	3861	224
945	3863	220
946	3866	216
947	3867	212
948	3873	208
949	3874	203
950	3876	199
951	3878	195
952	3884	191
953	3885	187
954	3887	183
955	3889	178
956	3890	174
957	3891	170
958	3893	166
959	3898	162
960	3904	158
961	3905	154
962	3907	150
963	3913	146
964	3916	142
965	3918	137
966	3920	133
967	3922	129
968	3930	125
969	3935	121
970	3944	117
971	3947	113
972	3949	109
973	3952	105
974	3961	101
975	3964	97
976	3973	93
977	3976	89
978	3978	85
979	3980	81
980	3984	77
981	3988	73
982	3992	69
983	3994	64
984	4000	60
985	4004	56
986	4006	52
987	4008	48
988	4010	44
989	4017	40
990	4023	36
991	4030	32
992	4032	28
993	4034	24
994	4036	20
995	4037	16
996	4039	12
997	4044	8
998	4051	4
999	4052	0
